client_id;target
75063019;0
86227647;1
6506523;0
50615998;0
95213230;0
26030145;0
54372604;0
98882512;0
19287737;0
87629740;1
59073462;0
55514131;1
69886005;1
31835145;0
86754120;1
88300913;0
97886931;1
38209893;0
98165114;0
84801428;0
60225348;0
94668608;1
57112910;0
67271773;0
81759045;1
47304072;0
75082331;1
52496612;1
43021002;0
25256271;0
78085289;1
91616522;1
28753;0
82535943;1
10499284;0
69743356;0
30739309;0
88597570;0
12342280;1
28350897;0
67595521;1
47089167;0
31401636;0
82406113;0
92403086;0
15384947;0
23509423;1
94946230;1
5741996;0
55803006;1
96750247;0
15894791;0
88735938;0
32820894;0
38689095;0
77391649;0
8976003;1
84830384;0
23513295;0
29353035;1
78695523;0
46740820;0
56694753;0
71406146;0
31876837;0
78858518;0
3258145;0
58023930;0
87503598;0
65356478;0
75360806;0
70599086;1
14720054;0
9718695;0
30509442;0
70469083;1
44075338;0
86731830;0
24316154;0
56786565;1
26396826;0
94197582;0
23316462;0
760558;0
29041434;1
47336085;0
59465550;0
23436847;0
40532686;0
44466557;1
11639778;0
33115683;0
49815462;0
48962034;0
58457953;1
71797886;0
67298834;1
69366778;1
18962492;1
95150782;1
55004652;1
41220999;1
61466009;1
80723184;0
16810200;0
3385982;0
34039951;1
53167255;1
12981808;1
32960729;0
14593180;0
98373084;1
64294802;1
69142971;1
6051980;1
18053122;0
29895956;0
96131268;1
55547169;0
81307680;1
25899565;0
98215373;1
64756863;1
73605230;0
84816141;1
98751596;0
97376938;1
44666684;1
28893182;0
41089888;1
72343780;0
54871418;1
5413522;0
26211677;0
37392838;0
25092334;0
53754591;0
8039989;0
83720437;0
23942860;0
36154830;1
67989047;0
57886259;0
13632967;1
33394172;0
1238197;1
81181832;1
68346269;0
80572800;0
79555354;0
47620156;1
87519015;0
81673597;0
43941597;0
75010969;0
38332437;0
12284205;0
85169712;0
26529456;0
83831763;0
29175248;0
13868306;1
81704039;0
18753299;1
48642979;1
81399705;0
11373512;1
2591328;1
84592673;0
58725654;1
31267301;0
5119545;0
16542862;0
59567939;0
60425984;0
49895677;0
49876918;0
45482726;0
56308717;0
86387909;1
85861930;0
16359236;1
82955373;0
22895111;0
94996148;0
72899509;1
11446286;0
23409492;1
52910636;1
56887029;0
6186589;0
7923600;1
96225247;1
35255941;0
17389182;1
53937108;0
96947994;0
890531;0
31704839;1
14850892;0
80247250;1
91227453;0
21546709;1
63815810;0
79843482;1
26870441;0
16604678;1
1843439;0
4243994;0
93741075;0
1914718;1
11089937;0
47830665;1
5687203;0
75832578;1
21227440;0
14360608;0
24942584;0
81863717;1
12258138;0
67766235;1
99613276;0
86749148;1
13775509;1
3707094;0
20762675;0
25486274;1
79434229;0
63557480;0
59018861;0
48971428;1
43934664;1
97634522;1
55013765;0
93618063;0
54340304;1
48033616;0
98115186;1
58868771;0
95321345;1
69683810;0
13900192;0
35858905;0
52264373;0
88330641;1
93921287;1
21574386;0
97204638;0
9978856;0
98165656;0
23687631;0
42445327;0
71509838;0
80567667;0
10344936;1
32478197;0
72760153;1
90605584;1
65638914;0
27883649;1
5712129;0
17502871;0
23690961;0
45646491;0
9178598;1
87231936;0
40759116;0
4611165;1
98606572;0
37633014;1
25227354;0
73839090;0
62631394;0
17350935;0
80952413;0
7942300;0
20480882;1
47812425;1
88308284;1
7443671;0
32646822;0
47748238;0
40508730;0
62818334;0
55575472;0
68939124;1
89235739;1
25017022;0
67849656;0
27160518;0
65311903;0
54669253;0
529504;0
36607877;0
54712278;0
88877409;0
82363585;0
16342382;1
62903374;1
35820856;0
48355809;1
94632271;1
98247285;0
87003793;0
60029265;1
35448726;1
85331558;1
37371201;0
70283901;1
555494;1
56086567;1
29097966;1
20580998;0
59120963;0
17662250;0
6419331;1
46413661;1
46024442;1
7841704;0
42700468;0
52616100;1
8125810;1
50030112;1
90994943;0
73828713;0
4725454;0
3630439;1
24603855;1
65874033;0
85591112;0
37681861;1
6250312;0
65765985;0
53290104;1
52228846;0
83627582;0
76598280;0
