"date","market_1","market_2","market_3","market_4","market_5","market_6","market_7","market_8"
2008-01-02,1,1,1,1,1,1,1,1
2008-01-03,NA,1.00694302277688,1.00259486730546,1.00695312308995,1.01481910687157,NA,1.00898883888573,1.00324143720457
2008-01-04,1.01518832990935,NA,1.0435353641688,1.04450694018935,1.05086459348142,1.02550792320276,1.03733742582189,1.02411730371586
2008-01-05,NA,1.0450759668267,NA,1.0802142432448,1.071664611743,NA,NA,1.02812426008158
2008-01-06,0.995761664915676,1.00098842269716,1.05163332163776,1.05638789160262,1.04775617476443,1.00289583125353,1.02753834211633,0.990432880892748
2008-01-07,0.99216039384397,0.990262043102095,1.04753561208408,1.05049171932302,1.0372431419877,1.00368897737069,1.02562721397937,NA
2008-01-08,1.00467430972234,0.98962803709524,1.0559136696101,NA,1.04424573826842,1.00662446514148,1.01979646345247,0.963007787936963
2008-01-09,1.0147551987378,0.997715696544063,1.06308481212157,1.06675828274873,NA,1.00316028811837,1.01507898755253,0.962121666844381
2008-01-10,NA,1.01397504419479,1.06688155718079,1.07936802099923,NA,1.01294672878848,1.00610419962451,NA
2008-01-11,NA,NA,NA,1.11212681046232,1.08935464510901,1.04895325796944,1.03133351139026,0.994150153220954
2008-01-12,1.07550668169886,1.04681714559089,1.13294175676884,1.11176620690092,1.10356940749293,1.05960163580889,1.02553716167711,NA
2008-01-13,NA,NA,1.11090064133232,1.09333639005015,1.06903551500466,NA,NA,0.974555656221065
2008-01-14,NA,1.02286831973409,1.11540738508275,1.09987606850639,1.05236167640713,1.03272994432928,0.964593182570313,0.970526767459269
2008-01-15,1.03927891978828,1.0338748958645,NA,1.09251400760629,1.03854422259999,1.03065724186925,0.970722591189968,0.96062056139606
2008-01-16,1.06118056146565,1.06229495342134,NA,1.10542316210669,1.03621085097262,NA,NA,0.971941951306656
2008-01-17,1.06627539806884,1.08057724493722,1.13125580066072,NA,NA,1.01628080979879,0.983239796723737,0.968798382307294
2008-01-18,1.09456062030588,1.12885084179421,1.16069166486946,NA,1.07856194723043,1.03637612318982,1.00831209071304,1.00147703211956
2008-01-19,1.0930379414313,1.14134917783112,1.17614827536559,NA,1.09270369458528,NA,1.0150805706411,NA
2008-01-20,NA,NA,1.14866991734366,1.14653348556716,1.07316019802458,1.01157503905206,0.981420509396799,0.998035790276015
2008-01-21,1.07431490785887,1.10413304923736,1.15186206575128,1.158805721206,NA,1.00699836026845,NA,NA
2008-01-22,1.09302160648914,1.09400767951854,1.15133073141157,NA,1.10879762347386,1.00341759040836,0.977427192333128,NA
2008-01-23,1.1096273490396,1.09432238553108,NA,NA,1.12161754594701,0.997300166057869,0.984921759514387,0.975771585412064
2008-01-24,1.09983216774411,1.08815576215652,1.16452083745273,1.15018464772409,NA,NA,NA,0.969299813147234
2008-01-25,1.1206012560887,1.12064380299953,1.17710850474578,1.17219877899726,NA,1.00965147969171,1.02135285157973,0.98371557016314
2008-01-26,1.13603135076588,NA,1.16487751222613,1.17685198659674,NA,NA,1.02202752509738,0.975833609016267
2008-01-27,1.11476084701185,NA,1.12043903627605,1.15360026251525,1.14851260033719,0.98165563802872,NA,0.930086947147324
2008-01-28,1.09488481731933,1.08190716517249,1.12013637875568,NA,1.15582127407916,0.96950653480875,0.982248718154377,NA
2008-01-29,1.0817188691787,1.0698927050198,1.11483597579904,1.13982733142116,1.15756275182537,0.947727508745822,0.980978982534846,0.932197415932027
2008-01-30,NA,1.06494361570235,1.12210169370528,1.12419722279497,1.1572141803943,0.930730010746141,0.982873228739252,0.922305710254196
2008-01-31,1.07106068112388,1.06953524754765,1.11207079165512,1.11361621089301,1.16127313074241,0.926133183486325,NA,0.922251725894925
2008-02-01,1.09987009702116,1.10191066723835,NA,NA,1.19579327710076,0.954910277859311,1.04648390094501,0.95776827964471
2008-02-02,NA,1.10103649446234,1.13902299864547,1.13914997607824,1.19535402006791,0.947467428119629,NA,0.946557558791506
2008-02-03,NA,1.08884622984947,1.10858558136209,1.11902239647902,NA,0.917284584569512,0.993670261629172,1.07432357831409
2008-02-04,1.05088778093634,1.0834072928755,NA,1.12556859220423,1.16728848415621,0.915554759627959,0.990907802321007,NA
2008-02-05,1.04038258453012,1.0695612591982,NA,1.12760149956904,1.15953854035276,0.899801442723849,0.986070356895872,0.944768260431206
2008-02-06,1.0329102362345,1.07379454479144,1.09925854137874,1.13676041193266,1.16356591524605,0.895962071154812,0.985635717492971,0.909209270680518
2008-02-07,1.03189998432635,1.07991279758596,1.09731242822598,1.14172416390146,NA,0.888654471869287,0.993801472890061,0.894444777307789
2008-02-08,1.0533370398621,1.12692729469306,1.12864950302998,1.16665802200301,1.18709984647779,0.92153258526967,1.02000931625983,0.921148223661591
2008-02-09,1.0634970138227,1.14410171963821,1.13164937437727,1.17150377373209,1.18433713289557,0.922690038436424,NA,NA
2008-02-10,1.04053687430572,1.11720469598947,1.09176136145511,1.14280362426478,1.15127991314279,0.881507712387572,0.978642541764236,0.906713911402009
2008-02-11,1.01780907203917,NA,1.0816197512322,NA,1.14326280846029,NA,0.981789986906252,NA
2008-02-12,0.998936867423242,1.10904314212408,NA,1.13900723423486,1.12611730984337,0.864875392173141,0.983955045573167,0.933048257011548
2008-02-13,0.992584622678744,NA,1.07035443386368,1.13918182695763,1.12131760502571,0.857851657979328,0.988125602804934,0.953686128420056
2008-02-14,0.993599964500195,NA,1.08305208145047,1.14621202526281,1.11036963061928,0.856542521735573,0.985509038333857,NA
2008-02-15,NA,1.1577336309326,1.11728604254944,NA,1.14033427072254,0.88555232258409,NA,1.01589696486815
2008-02-16,1.03500823279129,1.16854411532806,1.11394193878523,1.16996033480646,NA,0.896973315726408,1.00783345697674,1.02223219023317
2008-02-17,1.0098093898866,1.1339353866096,NA,1.15301189006145,1.12123619069825,0.891247394614472,0.969385561314184,1.00722616762136
2008-02-18,1.02217068852162,1.13090214186077,NA,NA,NA,0.914926378816314,NA,1.03144437664875
2008-02-19,1.01525653974593,1.12026158297758,1.0717854675127,NA,NA,0.929072188037537,0.961755882921182,1.03747684166513
2008-02-20,1.01400292457217,1.13713106520251,1.07695438646474,1.16148371926015,1.13147869210364,NA,NA,1.04857510868077
2008-02-21,1.00889531828316,1.14330396454179,NA,1.16850267993138,1.13043274949381,0.959012824777338,0.973866555115877,1.0388311720628
2008-02-22,1.03443833960075,1.18321744668762,1.10648691060446,NA,NA,0.973857629848377,NA,1.06482449655202
2008-02-23,1.02651900031317,1.19270689791528,1.11827128211018,1.21403801935558,1.14806150719816,0.976457872548773,1.01034479353664,NA
2008-02-24,NA,1.16135632945444,1.09685763769582,NA,1.11809859831198,0.945927103474014,0.976346403946907,1.02161871894482
2008-02-25,1.02189008619531,1.16522345638696,1.10525488337361,NA,1.13778611033208,0.960466977791518,0.976577949338504,1.02795107202103
2008-02-26,1.03664145366543,NA,NA,1.17123042794831,1.14555191299711,0.978800312521964,0.977617610153663,NA
2008-02-27,1.027924137707,NA,1.12297894082069,1.15888065884737,1.15129976887686,NA,NA,1.03630276342896
2008-02-28,NA,1.16386691391887,1.12676576170791,1.13740272986875,1.14804549277937,0.958974089168795,0.958226805878926,1.0364276880376
2008-02-29,1.04085632380501,1.1929967681209,1.15883509529945,1.16885042035985,1.1912363734455,0.99027829465924,0.982272759823341,1.06446375333472
2008-03-01,NA,1.18644740588261,1.16478273220484,1.16368333219265,NA,0.989238429059592,0.990269531326625,NA
2008-03-02,0.987288065406751,1.17553025131526,1.15733679789143,1.14428716407593,1.17235567979949,0.975057394862637,0.991906990924632,1.03120940228766
2008-03-03,0.988964844422597,1.18030821252644,1.14870962873198,1.14565167636249,1.15486063254515,0.979642951315334,1.0063025027235,NA
2008-03-04,1.00264714213518,1.19091807793253,1.14492114098934,NA,NA,0.982235873986503,1.02249603569088,NA
2008-03-05,1.006795909193,1.19358984470348,1.1447763150252,NA,NA,0.978697267033888,1.03513463877782,1.02131612691645
2008-03-06,NA,1.18249768924403,1.13851104740081,1.11006595025344,1.16813690437565,0.979157319890246,1.04412641558403,NA
2008-03-07,NA,1.21691944670077,1.1503591825789,1.14527815109916,1.20771433882627,1.02270093338102,1.07347143191602,1.05065523612622
2008-03-08,1.01868079708524,1.20627148774329,1.12728887239961,1.14838030538994,1.19145665630452,NA,NA,1.04781229169915
2008-03-09,0.989895428594892,1.17497198967739,1.0962614706118,1.13481926775527,NA,0.991752779074748,1.0392592545191,1.02424698592105
